timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
40,0,1256,1240,2492,1208,1159,6.6533,7.1029,5.7871,0.0610,0.0480,0.0214,50.83,-35.99
81,0,1258,1240,2487,1208,1162,6.7898,6.9161,5.6387,0.0598,-0.0463,0.0046,50.81,-37.27
145,0,1259,1241,2489,1198,1163,6.7922,6.5283,5.7895,0.0187,-0.0102,0.0331,48.43,-37.90
187,0,1258,1242,2491,1207,1160,6.9167,6.4325,5.8254,0.0149,-0.0126,0.0082,47.84,-38.56
249,0,1258,1241,2492,1208,1161,6.6317,6.2170,5.7823,0.0069,-0.0096,-0.0002,47.07,-37.99
311,0,1259,1241,2491,1199,1163,6.6796,6.3631,5.7584,-0.0021,0.0388,0.0253,47.86,-37.90
353,0,1259,1241,2490,1200,1158,6.8592,6.3726,5.7512,-0.0071,-0.0533,0.0230,47.93,-38.63
415,0,1260,1242,2490,1207,1162,7.0124,6.2984,5.7847,-0.0159,-0.0112,0.0080,47.43,-39.35
457,0,1258,1240,2491,1200,1163,6.5910,6.4062,5.8901,0.0366,-0.0114,-0.0209,47.40,-37.14
519,0,1258,1241,2490,1200,1162,6.6270,6.5067,5.7153,0.0271,0.0555,0.0182,48.70,-37.42
560,0,1257,1242,2491,1207,1161,6.7634,6.9927,5.9643,0.0018,-0.0850,0.0224,49.54,-36.35
622,0,1258,1240,2491,1200,1161,6.6437,7.3040,5.6746,0.0139,0.0405,0.0520,52.16,-35.69
683,0,1260,1240,2490,1207,1162,6.9717,6.6719,5.7392,0.0406,-0.0270,0.0027,49.30,-38.39
725,0,1256,1242,2491,1200,1161,6.5168,6.3655,5.8350,0.0029,0.0427,0.0230,47.49,-37.04
786,0,1257,1242,2490,1208,1161,6.8999,6.3846,5.7488,-0.0115,-0.0150,0.0319,48.00,-38.77
848,0,1260,1240,2490,1206,1163,6.8017,6.3607,5.8613,-0.0188,-0.0164,0.0408,47.34,-38.18
890,0,1259,1241,2491,1199,1162,7.0100,6.4828,5.9020,0.0171,-0.0244,0.0038,47.68,-38.65
952,0,1257,1238,2487,1199,1160,6.6054,6.4253,5.9451,0.0580,-0.0112,0.0036,47.22,-37.04
994,0,1256,1242,2490,1207,1162,6.7131,6.4876,5.7368,0.0352,0.0259,0.0202,48.51,-37.78
1056,0,1259,1240,2492,1207,1162,6.8329,6.5115,5.8853,0.0374,-0.0270,0.0231,47.89,-37.90
1098,0,1257,1241,2492,1208,1162,6.7323,6.2697,5.6698,-0.0270,0.0020,0.0264,47.88,-38.53
1160,0,1258,1243,2490,1206,1163,6.8760,6.5139,5.7823,0.0233,-0.0118,-0.0016,48.40,-38.29
1202,0,1260,1241,2490,1199,1162,6.7060,6.5067,5.7943,0.0311,0.0056,0.0075,48.31,-37.58
1263,0,1258,1241,2490,1207,1161,6.8712,6.5211,5.7297,0.0017,-0.0342,0.0083,48.70,-38.36
1325,0,1259,1242,2491,1206,1163,6.7179,6.4540,5.7967,-0.0007,-0.0269,0.0227,48.07,-37.75
1367,0,1258,1241,2490,1207,1161,6.9167,6.3822,5.8015,-0.0027,0.0091,0.0152,47.73,-38.73
1429,0,1257,1241,2489,1199,1159,6.7898,6.4493,5.7033,-0.0101,-0.0650,-0.0092,48.51,-38.26
1471,0,1259,1243,2491,1209,1162,6.7754,6.5833,5.7847,0.0171,0.0229,0.0178,48.69,-37.71
1532,0,1260,1242,2489,1208,1164,6.8640,6.4924,5.7656,0.0278,-0.0445,0.0051,48.39,-38.33
1574,0,1260,1243,2490,1208,1162,6.7730,6.4852,5.8087,0.0070,0.0335,0.0170,48.15,-37.88
1636,0,1260,1242,2491,1207,1162,6.8161,6.5259,5.8709,0.0195,-0.0562,0.0003,48.02,-37.83
1698,0,1259,1243,2491,1208,1162,6.7155,6.4325,5.6961,0.0109,0.0263,0.0313,48.47,-38.01
1739,0,1259,1241,2490,1206,1162,6.9119,6.5235,5.7680,0.0227,-0.0506,0.0206,48.52,-38.44
1801,0,1259,1242,2489,1209,1162,6.7826,6.4133,5.8230,0.0138,-0.0405,0.0084,47.76,-38.06
1843,0,1257,1242,2492,1208,1162,6.7969,6.4732,5.7297,0.0139,0.0099,0.0044,48.49,-38.18
1905,0,1259,1241,2492,1208,1164,6.7802,6.5498,5.7321,0.0074,-0.0237,-0.0098,48.81,-37.92
1947,0,1260,1242,2491,1207,1160,6.7036,6.4205,5.8039,-0.0082,-0.0022,0.0098,47.89,-37.76
2009,0,1260,1244,2492,1208,1163,6.7850,6.3367,5.7105,-0.0133,-0.0073,0.0172,47.98,-38.50
2051,0,1259,1242,2490,1208,1161,6.7155,6.4804,5.8111,-0.0230,-0.0084,0.0160,48.12,-37.65
2113,0,1260,1243,2490,1208,1161,6.7419,6.3415,5.7656,-0.0123,-0.0069,0.0287,47.72,-38.19
2155,0,1259,1243,2490,1199,1162,6.7347,6.4014,5.7440,-0.0109,-0.0298,0.0311,48.10,-38.06
2217,0,1259,1243,2491,1210,1163,6.7778,6.3631,5.8925,0.0150,-0.0724,0.0196,47.20,-38.01
2259,0,1259,1242,2491,1210,1163,6.7562,6.3774,5.7823,0.0051,0.0169,0.0265,47.80,-38.13
2321,0,1260,1242,2490,1208,1161,6.7969,6.4301,5.7440,0.0095,-0.0240,0.0048,48.23,-38.25
2383,0,1260,1244,2492,1207,1161,6.6389,6.4062,5.8135,0.0105,0.0094,0.0198,47.78,-37.50
2424,0,1261,1244,2491,1199,1162,6.7754,6.4325,5.8230,0.0002,-0.0065,0.0219,47.85,-37.99
2486,0,1259,1242,2490,1208,1161,6.7586,6.3774,5.8206,0.0170,-0.0072,0.0234,47.61,-38.05
2528,0,1260,1241,2491,1207,1162,6.7084,6.4110,5.8709,0.0141,0.0008,0.0255,47.52,-37.66
2589,0,1260,1243,2492,1210,1162,6.8089,6.5115,5.7416,0.0151,0.0172,0.0160,48.60,-38.11
2650,0,1259,1244,2492,1208,1162,6.9310,6.4971,5.8063,0.0185,-0.0447,-0.0097,48.21,-38.50
2692,0,1259,1243,2489,1209,1161,6.7012,6.4349,5.8158,0.0031,-0.0399,-0.0098,47.89,-37.69
2754,0,1261,1241,2492,1210,1164,6.7802,6.5091,5.8326,0.0249,-0.0037,0.0122,48.14,-37.80
2796,0,1258,1243,2490,1208,1162,6.7610,6.4684,5.7249,0.0195,-0.0299,0.0018,48.49,-38.05
2858,0,1259,1242,2492,1207,1161,6.6772,6.5355,5.7680,0.0049,0.0080,0.0162,48.57,-37.45
2920,0,1260,1243,2488,1208,1163,6.8185,6.4229,5.6842,0.0057,-0.0050,0.0202,48.49,-38.48
2962,0,1260,1244,2492,1208,1163,6.9071,6.3990,5.7560,0.0163,-0.0393,0.0052,48.03,-38.75
