timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
36,0,1419,1400,2345,1382,1242,-1.1672,9.2844,2.2295,0.0541,0.0011,-0.0346,76.50,6.97
87,0,1416,1400,2344,1374,1240,-1.0882,9.1743,2.1145,0.0226,-0.0464,0.0161,77.02,6.59
138,0,1416,1402,2344,1372,1242,-0.7362,9.2246,1.9852,-0.0200,-0.0602,0.0409,77.85,4.46
189,0,1418,1402,2343,1384,1243,-0.6524,9.1863,2.1768,-0.0617,-0.0178,0.0511,76.67,3.95
250,0,1419,1399,2336,1384,1240,-0.5303,9.0761,2.3611,-0.0898,-0.0394,0.0189,75.42,3.24
301,0,1418,1402,2345,1386,1241,-0.6788,9.0498,2.6077,-0.0657,0.0121,0.0095,73.93,4.12
352,0,1421,1402,2344,1384,1242,-0.6261,8.9995,2.6460,-0.0268,-0.0218,-0.0017,73.62,3.82
403,0,1417,1402,2346,1385,1245,-0.6740,9.0594,2.5287,0.0235,0.0093,-0.0093,74.40,4.10
454,0,1418,1402,2344,1384,1241,-0.7649,9.0666,2.3947,0.0478,-0.0122,-0.0193,75.20,4.66
515,0,1419,1401,2344,1385,1242,-0.7410,9.0450,2.2247,0.0401,-0.0033,-0.0034,76.18,4.55
566,0,1419,1401,2344,1384,1241,-0.7482,9.0977,2.1959,0.0297,-0.0172,-0.0074,76.43,4.57
617,0,1416,1401,2344,1386,1241,-0.7937,9.1240,2.2462,-0.0000,-0.0162,0.0068,76.17,4.83
668,0,1420,1402,2343,1384,1240,-0.7554,9.1527,2.1768,-0.0148,-0.0245,0.0255,76.62,4.59
719,0,1407,1401,2344,1381,1231,-0.7003,9.0929,2.2893,-0.0154,-0.0132,0.0175,75.87,4.27
780,0,1415,1400,2344,1375,1239,-0.7626,9.0235,2.3468,0.0017,-0.0025,0.0167,75.42,4.68
831,0,1417,1400,2345,1383,1232,-0.7386,9.0618,2.3444,0.0082,-0.0128,0.0032,75.49,4.51
881,0,1406,1403,2344,1384,1240,-0.7242,9.1527,2.3635,0.0145,0.0009,0.0023,75.52,4.38
933,0,1415,1401,2345,1373,1241,-0.6596,9.1599,2.2534,0.0104,-0.0189,0.0036,76.18,4.00
984,0,1417,1403,2345,1375,1243,-0.6716,9.1312,2.2773,-0.0183,-0.0043,0.0185,76.00,4.08
1045,0,1416,1403,2345,1375,1242,-0.5519,9.1073,2.4521,-0.0138,-0.0060,0.0146,74.93,3.35
1095,0,1415,1403,2345,1383,1241,-0.4776,8.9971,2.3013,0.0009,0.0117,0.0095,75.65,2.94
1147,0,1416,1402,2345,1375,1242,-0.6644,8.9540,2.4425,0.0058,-0.0192,-0.0077,74.74,4.09
1208,0,1416,1401,2345,1375,1241,-0.7242,9.0259,2.3540,0.0090,0.0053,-0.0080,75.38,4.44
1259,0,1408,1406,2344,1384,1239,-0.8990,9.1097,2.4066,-0.0179,0.0115,-0.0028,75.20,5.45
1310,0,1416,1403,2346,1383,1242,-0.7027,9.1097,2.3444,-0.0043,-0.0152,0.0024,75.57,4.27
1361,0,1416,1400,2343,1376,1240,-0.5471,9.1240,2.2989,-0.0024,0.0048,0.0106,75.86,3.33
1422,0,1406,1392,2344,1385,1243,-0.6093,9.0618,2.3013,0.0052,-0.0079,-0.0094,75.75,3.73
1473,0,1416,1402,2345,1382,1242,-0.7266,9.0235,2.4114,-0.0118,0.0184,-0.0126,75.04,4.45
1524,0,1419,1404,2344,1383,1241,-0.7961,9.0522,2.5120,-0.0401,0.0037,-0.0198,74.49,4.84
1575,0,1417,1403,2346,1382,1242,-0.7673,9.0761,2.5694,-0.0340,0.0103,-0.0120,74.19,4.65
1626,0,1415,1405,2345,1375,1240,-0.6572,9.1312,2.4665,-0.0068,-0.0194,0.0050,74.88,3.97
1687,0,1414,1401,2344,1376,1241,-0.4729,9.1264,2.3707,0.0262,-0.0101,-0.0080,75.44,2.87
1737,0,1415,1400,2345,1384,1243,-0.6381,9.0522,2.2510,0.0403,0.0177,-0.0198,76.04,3.91
1789,0,1416,1400,2344,1376,1244,-0.7769,9.1647,2.2534,0.0293,0.0016,-0.0298,76.19,4.71
1840,0,1416,1401,2346,1376,1240,-0.8655,9.1408,2.2893,0.0145,0.0067,-0.0201,75.94,5.25
1891,0,1414,1401,2343,1374,1240,-0.8080,9.1671,2.2438,0.0037,-0.0033,-0.0089,76.25,4.89
1942,0,1405,1403,2343,1375,1243,-0.7051,9.1527,2.2390,-0.0080,-0.0076,0.0086,76.25,4.28
2003,0,1416,1401,2343,1374,1241,-0.6189,9.1168,2.2941,-0.0194,-0.0077,0.0075,75.88,3.77
2054,0,1418,1403,2345,1386,1242,-0.7003,9.0139,2.3707,-0.0336,-0.0096,0.0043,75.26,4.30
