timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
51,0,1321,1435,2671,1390,1238,4.2249,8.4780,1.5714,0.0304,-0.0369,0.0282,79.50,-26.10
113,0,1321,1434,2670,1391,1240,4.2728,8.3966,1.2722,0.0296,-0.0865,0.0139,81.38,-26.71
155,0,1321,1434,2670,1391,1241,4.0884,8.4924,1.5283,0.0111,-0.0315,0.0334,79.80,-25.35
217,0,1321,1435,2670,1390,1241,4.2512,8.4205,1.3560,0.0120,-0.0684,-0.0011,80.85,-26.49
259,0,1322,1434,2670,1390,1232,3.9902,8.5857,1.4421,0.0099,-0.0602,0.0166,80.47,-24.62
321,0,1320,1433,2668,1390,1241,4.1315,8.5331,1.4876,0.0345,-0.0552,0.0249,80.11,-25.50
363,0,1321,1434,2671,1392,1242,4.0669,8.4469,1.5068,0.0545,-0.0357,0.0502,79.89,-25.36
425,0,1322,1436,2671,1390,1241,4.1339,8.4971,1.3679,0.0644,-0.0514,0.0451,80.85,-25.66
467,0,1321,1437,2678,1391,1240,4.1531,8.5091,1.5044,0.0423,-0.0884,0.0367,79.97,-25.67
529,0,1320,1433,2670,1399,1231,4.7732,8.6671,1.0710,-0.0094,-0.2725,-0.0925,82.96,-28.66
591,0,1322,1435,2671,1391,1240,4.5074,8.4110,1.1141,-0.1424,0.0079,-0.1710,82.45,-27.98
633,0,1320,1435,2671,1391,1240,3.9376,8.4828,1.3871,-0.1987,-0.0317,-0.2509,80.71,-24.61
695,0,1321,1436,2671,1390,1231,3.4516,8.3367,1.7821,-0.1614,0.0242,-0.1843,77.93,-22.04
737,0,1322,1435,2670,1388,1240,3.2935,8.5235,1.9473,-0.1403,0.0005,-0.0988,77.13,-20.64
799,0,1322,1433,2668,1399,1241,3.7149,8.6456,1.8851,-0.1287,0.0733,-0.0997,77.70,-22.77
841,0,1323,1435,2670,1391,1239,3.5521,8.2888,2.0742,-0.1570,0.0014,-0.1729,75.95,-22.57
903,0,1320,1435,2679,1390,1241,3.3438,8.2769,2.2681,-0.1697,0.0139,-0.1598,74.68,-21.29
945,0,1324,1435,2669,1390,1238,3.2911,8.3343,2.4238,-0.1073,-0.0624,-0.0620,73.78,-20.77
1007,0,1323,1433,2671,1400,1240,3.2792,8.2697,2.4333,0.0162,-0.0331,-0.0002,73.60,-20.83
1069,0,1321,1435,2670,1391,1240,3.2313,8.3726,2.1460,0.0752,-0.0307,0.0271,75.62,-20.50
1111,0,1322,1435,2670,1400,1239,3.2121,8.4493,2.2490,0.0476,-0.0019,0.0118,75.09,-20.17
1173,0,1319,1433,2670,1390,1242,3.3055,8.3343,2.3472,0.0080,-0.0929,-0.0219,74.27,-20.89
1215,0,1322,1436,2671,1400,1240,3.2552,8.3128,2.3400,0.0264,-0.0832,0.0283,74.28,-20.65
1277,0,1323,1435,2670,1398,1240,3.3606,8.3104,2.1293,0.0928,-0.0872,0.0852,75.63,-21.39
1319,0,1322,1433,2670,1398,1242,3.4013,8.4660,1.9354,0.1575,-0.0432,0.1028,77.12,-21.39
1381,0,1322,1432,2669,1389,1238,3.4324,8.6073,1.8132,0.1054,-0.0447,0.0919,78.10,-21.32
1423,0,1321,1436,2672,1400,1240,3.5018,8.4995,2.0359,0.0180,-0.0354,0.0542,76.53,-21.83
1485,0,1321,1435,2670,1391,1240,3.5330,8.3750,2.1389,-0.0186,-0.0480,0.0166,75.67,-22.23
1527,0,1322,1434,2670,1388,1242,3.4755,8.4253,2.1604,0.0194,0.0372,0.0174,75.62,-21.78
1589,0,1319,1434,2668,1392,1244,3.5401,8.3367,2.2155,0.0686,-0.0539,0.0360,75.12,-22.31
1651,0,1321,1434,2669,1390,1242,3.3342,8.3798,2.1006,0.1113,0.0475,0.0666,75.93,-21.10
