timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
41,0,1070,1136,2296,1166,1039,5.9159,6.6791,4.7169,0.0037,-0.0038,0.0265,54.77,-35.89
83,0,1070,1142,2295,1176,1039,6.1673,6.4397,4.5924,-0.0216,-0.0124,0.0369,54.51,-37.94
125,0,1071,1143,2296,1164,1040,6.2678,6.5019,4.5254,0.0131,0.0268,0.0413,55.16,-38.35
187,0,1070,1136,2296,1176,1039,6.2367,6.9233,4.6259,0.0119,-0.0048,0.0368,56.25,-36.83
229,0,1068,1135,2286,1164,1038,6.0356,6.7988,4.7600,0.0091,-0.0149,0.0152,55.00,-36.03
291,0,1071,1135,2287,1175,1039,5.9470,6.5977,4.8941,0.0310,-0.0065,-0.0088,53.43,-35.90
353,0,1070,1142,2295,1175,1039,5.8632,6.7270,4.7025,0.0259,0.0095,0.0063,55.04,-35.54
395,0,1070,1143,2286,1167,1040,5.9901,6.7773,4.6068,0.0274,-0.0144,0.0095,55.79,-36.17
457,0,1079,1144,2295,1177,1040,6.0595,6.7054,4.5637,-0.0227,-0.0242,0.0280,55.76,-36.76
499,0,1080,1145,2296,1174,1040,5.9542,6.8252,4.8486,0.0087,-0.0057,0.0103,54.61,-35.42
561,0,1071,1144,2288,1176,1040,5.8464,6.8778,4.8797,0.0431,0.0108,-0.0243,54.64,-34.73
603,0,1069,1143,2295,1167,1038,5.9326,6.8371,4.6499,0.0218,-0.0226,0.0144,55.78,-35.66
665,0,1070,1143,2287,1176,1040,6.0332,6.7653,4.6858,0.0109,-0.0301,0.0152,55.29,-36.25
707,0,1070,1132,2287,1175,1039,6.0739,6.6863,4.5038,-0.0223,-0.0634,0.0237,56.04,-37.00
769,0,1070,1145,2296,1175,1040,5.9901,6.6887,4.7313,-0.0170,-0.0289,0.0140,54.73,-36.17
831,0,1068,1133,2284,1166,1038,5.9638,6.6719,4.7911,0.0323,-0.0045,0.0060,54.32,-35.98
873,0,1079,1143,2294,1175,1040,5.9231,6.7246,4.6331,-0.0051,-0.0009,0.0154,55.43,-35.95
935,0,1079,1145,2295,1166,1040,5.9087,6.7318,4.7504,0.0434,0.0140,0.0054,54.79,-35.65
976,0,1071,1144,2295,1176,1040,6.1314,6.7581,4.5397,0.0177,-0.0661,0.0287,56.11,-36.98
1038,0,1080,1144,2287,1166,1039,6.0236,6.8299,4.6547,0.0202,0.0035,0.0058,55.73,-36.08
1079,0,1071,1143,2295,1167,1040,5.9805,6.7437,4.6666,0.0165,-0.0339,-0.0045,55.32,-36.10
1141,0,1070,1136,2294,1167,1037,5.7722,6.6384,4.6259,-0.0055,-0.0056,0.0104,55.13,-35.50
1183,0,1071,1143,2296,1176,1040,5.9590,6.6576,4.9683,-0.0066,-0.0086,0.0119,53.27,-35.65
1245,0,1070,1134,2295,1167,1049,5.9781,6.6911,4.6427,0.0087,-0.0422,0.0214,55.24,-36.28
1307,0,1078,1134,2293,1166,1039,5.9566,6.7174,4.8055,0.0159,0.0014,0.0228,54.42,-35.80
1349,0,1071,1144,2296,1175,1040,6.0500,6.7414,4.6882,0.0332,0.0098,0.0051,55.18,-36.38
1410,0,1069,1135,2288,1166,1038,5.9446,6.7078,4.5613,0.0109,-0.0455,0.0036,55.78,-36.24
1472,0,1070,1144,2286,1167,1040,5.8488,6.8180,4.6068,0.0262,0.0276,0.0156,55.95,-35.41
1513,0,1078,1143,2295,1166,1039,6.1146,6.6839,4.5876,0.0057,-0.0403,0.0210,55.54,-37.03
1575,0,1078,1145,2295,1176,1038,6.0476,6.6983,4.6451,0.0271,-0.0186,0.0090,55.26,-36.57
1617,0,1067,1135,2285,1164,1037,5.9015,6.6791,4.6738,0.0011,-0.0030,0.0135,55.02,-35.90
1679,0,1070,1145,2295,1166,1039,5.8369,6.7007,4.7289,0.0050,0.0307,0.0196,54.79,-35.44
1720,0,1070,1145,2297,1177,1039,5.9709,6.7414,4.6810,0.0146,0.0044,0.0103,55.23,-36.04
1781,0,1071,1142,2296,1168,1038,5.9566,6.6743,4.6810,0.0147,-0.0146,0.0107,54.96,-36.15
1843,0,1069,1135,2295,1168,1038,5.9757,6.7294,4.6571,0.0138,0.0051,0.0135,55.31,-36.14
1884,0,1069,1144,2288,1175,1048,5.9662,6.6911,4.5565,0.0041,-0.0198,0.0110,55.75,-36.39
1946,0,1078,1144,2295,1176,1040,5.9422,6.7270,4.5757,-0.0034,-0.0200,0.0116,55.78,-36.14
1988,0,1070,1142,2287,1167,1039,6.0284,6.7150,4.6642,0.0091,-0.0277,0.0147,55.22,-36.40
2050,0,1065,1144,2296,1175,1038,5.9638,6.6767,4.6858,0.0059,-0.0411,0.0111,54.94,-36.17
2092,0,1070,1133,2295,1176,1040,5.9518,6.7126,4.7648,0.0107,-0.0065,0.0102,54.63,-35.87
2154,0,1070,1135,2288,1168,1040,6.0236,6.6671,4.6403,-0.0082,-0.0196,0.0195,55.16,-36.56
2196,0,1069,1135,2285,1167,1039,5.7196,6.7126,4.6978,-0.0118,0.0084,0.0207,55.01,-34.92
2258,0,1069,1144,2298,1167,1048,5.9207,6.6815,4.7385,-0.0061,0.0624,0.0164,54.66,-35.86
2320,0,1071,1144,2288,1166,1040,6.0188,6.7078,4.5589,-0.0109,0.0052,0.0176,55.80,-36.58
2362,0,1069,1143,2286,1167,1040,6.0571,6.6935,4.6044,0.0050,0.0237,0.0118,55.48,-36.71
2423,0,1069,1134,2296,1166,1038,5.8512,6.7629,4.6020,-0.0046,-0.0017,0.0192,55.77,-35.58
2485,0,1070,1144,2288,1167,1039,5.9973,6.7126,4.7480,0.0009,-0.0198,0.0078,54.73,-36.11
2527,0,1070,1135,2286,1168,1040,5.9135,6.7318,4.7911,0.0006,-0.0040,0.0106,54.56,-35.59
2569,0,1077,1145,2296,1166,1038,5.8704,6.7701,4.6187,0.0021,-0.0184,0.0211,55.70,-35.61
2631,0,1079,1143,2295,1176,1039,5.9614,6.7054,4.5709,-0.0042,0.0014,0.0234,55.72,-36.30
2673,0,1079,1144,2285,1168,1040,6.0069,6.6887,4.5445,-0.0135,-0.0113,0.0222,55.81,-36.61
2735,0,1071,1144,2295,1175,1040,5.9135,6.7342,4.7792,0.0023,0.0197,0.0174,54.64,-35.61
2796,0,1071,1144,2295,1175,1040,5.9015,6.7007,4.8989,-0.0155,0.0098,0.0171,53.83,-35.41
2838,0,1072,1143,2287,1166,1039,5.9925,6.7054,4.8199,-0.0101,0.0193,0.0156,54.29,-35.97
2900,0,1071,1144,2287,1166,1040,5.9781,6.6791,4.8007,0.0123,-0.0398,0.0111,54.29,-36.01
2942,0,1069,1135,2287,1177,1040,5.9757,6.7533,4.6355,0.0217,-0.0217,0.0132,55.53,-36.11
