timestamp,id_luva,flex_polegar,flex_indicador,flex_medio,flex_anelar,flex_minimo,acel_x,acel_y,acel_z,giro_x,giro_y,giro_z,roll,pitch
12,0,1071,1144,2285,1167,1039,5.3101,6.9568,4.7073,0.0464,-0.0423,0.0385,55.92,-32.30
74,0,1070,1145,2295,1167,1039,5.3724,6.6719,4.6714,0.0298,0.0199,0.0046,55.00,-33.41
115,0,1080,1146,2287,1177,1040,5.0228,6.4995,4.7385,0.0446,0.0104,-0.0267,53.91,-31.98
177,0,1070,1144,2284,1167,1038,4.9845,6.5474,4.5278,0.0169,0.0012,0.0042,55.33,-32.05
218,0,1071,1146,2294,1166,1048,5.0037,6.5618,4.7145,0.0130,0.0308,0.0429,54.30,-31.77
279,0,1070,1146,2296,1167,1038,5.2431,6.5857,4.6666,-0.0192,-0.0214,0.0323,54.68,-33.01
341,0,1071,1144,2286,1176,1037,5.0611,6.6408,4.8246,-0.0099,-0.0142,0.0219,54.00,-31.66
383,0,1081,1145,2287,1176,1039,5.1809,6.5690,4.8127,-0.0226,-0.0016,0.0389,53.77,-32.46
445,0,1072,1144,2295,1165,1040,5.3149,6.7270,4.7337,0.0114,-0.0579,0.0277,54.87,-32.87
487,0,1079,1145,2287,1167,1040,5.1976,6.6336,4.6211,0.0275,0.0018,0.0058,55.14,-32.74
549,0,1072,1144,2287,1175,1038,5.0707,6.6743,4.6834,-0.0002,0.0116,0.0224,54.94,-31.88
591,0,1077,1143,2286,1175,1038,5.2814,6.5378,4.5972,-0.0330,-0.0069,0.0316,54.89,-33.46
653,0,1079,1144,2295,1177,1038,5.3030,6.5738,4.6714,-0.0388,-0.0621,0.0218,54.60,-33.33
695,0,1080,1147,2295,1175,1040,5.2311,6.5402,4.8103,-0.0073,-0.0020,0.0171,53.67,-32.79
757,0,1072,1145,2295,1174,1040,5.2072,6.5331,4.7480,0.0049,0.0455,0.0215,53.99,-32.81
818,0,1079,1145,2287,1168,1048,5.2862,6.6719,4.4966,0.0099,-0.0149,0.0186,56.02,-33.31
860,0,1070,1146,2286,1177,1040,5.3054,6.6336,4.6475,-0.0007,0.0124,0.0412,54.99,-33.23
922,0,1071,1145,2287,1178,1040,5.3006,6.6192,4.7935,0.0118,-0.0282,0.0391,54.09,-32.97
964,0,1069,1144,2285,1165,1038,5.1593,6.5115,4.8031,0.0169,0.0233,0.0313,53.59,-32.52
1025,0,1079,1146,2295,1176,1039,5.1856,6.5450,4.6738,0.0010,0.0416,0.0208,54.47,-32.81
1087,0,1080,1146,2286,1177,1048,5.2072,6.7509,4.7217,-0.0050,0.0465,0.0152,55.03,-32.30
1129,0,1070,1146,2295,1177,1049,5.1641,6.6743,4.6930,-0.0354,-0.0112,0.0202,54.89,-32.33
1191,0,1079,1145,2287,1178,1040,5.1545,6.5833,4.8893,-0.0191,0.0444,0.0237,53.40,-32.15
1233,0,1078,1145,2288,1166,1039,5.3149,6.7174,4.6355,-0.0009,0.0179,0.0099,55.39,-33.07
1295,0,1081,1145,2295,1176,1048,5.0013,6.5977,4.7528,-0.0348,0.0205,0.0272,54.23,-31.59
1337,0,1080,1145,2287,1176,1040,5.1665,6.4756,4.9779,0.0066,0.0437,0.0234,52.45,-32.32
1399,0,1070,1146,2296,1176,1040,5.1066,6.5139,4.8917,0.0151,0.0130,0.0431,53.09,-32.08
1460,0,1069,1143,2283,1167,1038,5.1569,6.7294,4.8270,0.0571,0.0308,0.0452,54.35,-31.91
1502,0,1079,1145,2286,1176,1039,5.2742,6.7246,4.5900,0.0415,-0.0233,0.0283,55.68,-32.94
1564,0,1079,1145,2284,1168,1040,5.2551,6.7485,4.7600,0.0199,-0.0202,0.0224,54.80,-32.47
1606,0,1072,1146,2296,1168,1040,5.2311,6.6192,4.7935,0.0094,-0.0042,0.0256,54.09,-32.62
1668,0,1080,1144,2288,1176,1038,5.0803,6.6647,4.7432,0.0235,0.0323,0.0260,54.56,-31.84
1709,0,1078,1145,2295,1175,1040,5.3628,6.5690,4.7289,0.0241,-0.0126,0.0163,54.25,-33.53
1771,0,1072,1145,2296,1176,1049,5.2144,6.6600,4.8486,0.0202,0.0215,0.0187,53.94,-32.33
1812,0,1079,1146,2295,1177,1040,5.2599,6.6145,4.4823,-0.0180,-0.0220,0.0327,55.88,-33.36
1874,0,1080,1145,2294,1168,1040,5.1138,6.6887,4.8438,0.0595,0.0313,0.0624,54.09,-31.77
1935,0,1079,1146,2296,1177,1048,5.4586,6.6480,4.5541,0.0219,-0.0459,0.0399,55.59,-34.11
1997,0,1079,1145,2295,1176,1040,5.4275,6.6169,4.7073,0.0155,-0.0146,0.0134,54.57,-33.76
2039,0,1071,1144,2294,1174,1039,5.3389,6.5426,4.6594,0.0163,-0.0073,0.0060,54.54,-33.61
2081,0,1072,1145,2286,1176,1039,5.3389,6.6216,4.7480,0.0231,-0.0466,0.0014,54.36,-33.23
2143,0,1078,1145,2295,1166,1040,5.2359,6.6216,4.6906,0.0436,0.0070,0.0231,54.69,-32.83
2184,0,1080,1147,2295,1175,1048,5.2599,6.6743,4.5996,0.0081,-0.0264,0.0155,55.43,-32.98
2246,0,1080,1146,2294,1176,1040,5.2982,6.7461,4.7073,0.0201,0.0215,0.0116,55.09,-32.78
2307,0,1071,1145,2295,1168,1040,5.3149,6.7198,4.5852,0.0009,-0.0093,0.0164,55.69,-33.16
2349,0,1080,1145,2287,1176,1048,5.3556,6.7054,4.6235,0.0342,-0.0507,0.0568,55.41,-33.33
2411,0,1072,1146,2296,1177,1040,5.4394,6.6719,4.5206,0.0616,-0.0082,0.0700,55.88,-34.02
2453,0,1080,1146,2295,1176,1047,5.5711,6.5905,4.3793,0.0526,-0.0623,0.0218,56.40,-35.15
2515,0,1080,1146,2294,1177,1040,5.3556,6.5809,4.7097,0.0266,-0.0732,-0.0573,54.41,-33.50
2557,0,1079,1146,2288,1174,1039,5.1521,6.6097,4.7935,-0.0047,-0.0677,-0.0463,54.05,-32.25
2619,0,1070,1145,2287,1166,1040,5.1545,6.6791,4.6403,0.0462,-0.0148,-0.0064,55.21,-32.37
2661,0,1072,1144,2296,1178,1048,5.4107,6.6240,4.2955,0.0415,-0.0689,0.0019,57.04,-34.42
2723,0,1080,1146,2286,1165,1038,5.2431,6.8347,4.3889,0.0195,0.0233,0.0118,57.29,-32.84
